5kV,10kV,15kV,20kV,25kV,30kV,Contamination_Rate,,,5_s,10_s,15_s,20_s,25_s,30_s
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.12,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.0144,0.0256,0.002844444
0,0.01175,0.06,0.124,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.015376,0.0256,0.002844444
0,0.01175,0.06,0.128,0.16,0.053333333,High,,,0,0.000138063,0.0036,0.016384,0.0256,0.002844444
0,0.01175,0.06,0.132,0.16,0.058666667,High,,,0,0.000138063,0.0036,0.017424,0.0256,0.003441778
0,0.01175,0.06,0.136,0.16,0.064,High,,,0,0.000138063,0.0036,0.018496,0.0256,0.004096
0,0.01175,0.06,0.14,0.164571429,0.069333333,High,,,0,0.000138063,0.0036,0.0196,0.027083755,0.004807111
0,0.014105882,0.06,0.14,0.164571429,0.074666667,High,,,0,0.000198976,0.0036,0.0196,0.027083755,0.005575111
0,0.016461765,0.064,0.14,0.169142857,0.08,High,,,0,0.00027099,0.004096,0.0196,0.028609306,0.0064
0.002282857,0.018817647,0.068,0.14,0.173714286,0.085333333,High,,,5.21E-06,0.000354104,0.004624,0.0196,0.030176653,0.007281778
0.004565714,0.023526471,0.076,0.136,0.178285714,0.090666667,High,,,2.08E-05,0.000553495,0.005776,0.018496,0.031785796,0.008220445
0.004565714,0.025882353,0.08,0.136,0.178285714,0.101333333,High,,,2.08E-05,0.000669896,0.0064,0.018496,0.031785796,0.010268444
0.006848571,0.025882353,0.084,0.136,0.182857143,0.106666667,High,,,4.69E-05,0.000669896,0.007056,0.018496,0.033436735,0.011377778
0.009131429,0.028235294,0.084,0.136,0.187428571,0.117333333,High,,,8.34E-05,0.000797232,0.007056,0.018496,0.035129469,0.013767111
0.009131429,0.028235294,0.088,0.14,0.192,0.122666667,High,,,8.34E-05,0.000797232,0.007744,0.0196,0.036864,0.015047111
0.009131429,0.025882353,0.088,0.148,0.196571429,0.128,High,,,8.34E-05,0.000669896,0.007744,0.021904,0.038640327,0.016384
0.011414286,0.028235294,0.092,0.152,0.201142857,0.128,High,,,0.000130286,0.000797232,0.008464,0.023104,0.040458449,0.016384
0.011414286,0.030588235,0.096,0.156,0.205714286,0.133333333,High,,,0.000130286,0.00093564,0.009216,0.024336,0.042318367,0.017777778
0.011414286,0.030588235,0.1,0.164,0.205714286,0.138666667,High,,,0.000130286,0.00093564,0.01,0.026896,0.042318367,0.019228445
0.013702857,0.032941176,0.1,0.168,0.205714286,0.149333333,High,,,0.000187768,0.001085121,0.01,0.028224,0.042318367,0.022300444
0.013702857,0.035294118,0.1,0.168,0.205714286,0.154666667,High,,,0.000187768,0.001245675,0.01,0.028224,0.042318367,0.023921778
0.013702857,0.035294118,0.1,0.172,0.205714286,0.16,High,,,0.000187768,0.001245675,0.01,0.029584,0.042318367,0.0256
0.013702857,0.035294118,0.1,0.176,0.210285714,0.165333333,High,,,0.000187768,0.001245675,0.01,0.030976,0.044220082,0.027335111
0.013702857,0.035294118,0.1,0.176,0.210285714,0.170666667,High,,,0.000187768,0.001245675,0.01,0.030976,0.044220082,0.029127111
0.013702857,0.035294118,0.104,0.176,0.214857143,0.170666667,High,,,0.000187768,0.001245675,0.010816,0.030976,0.046163592,0.029127111
0.013702857,0.035294118,0.108,0.18,0.219428571,0.176,High,,,0.000187768,0.001245675,0.011664,0.0324,0.048148898,0.030976
0.015991429,0.035294118,0.112,0.18,0.224,0.181333333,High,,,0.000255726,0.001245675,0.012544,0.0324,0.050176,0.032881778
0.015991429,0.035294118,0.116,0.18,0.224,0.186666667,High,,,0.000255726,0.001245675,0.013456,0.0324,0.050176,0.034844445
0.015991429,0.035294118,0.124,0.18,0.228571429,0.186666667,High,,,0.000255726,0.001245675,0.015376,0.0324,0.052244898,0.034844445
0.015991429,0.035294118,0.124,0.18,0.228571429,0.186666667,High,,,0.000255726,0.001245675,0.015376,0.0324,0.052244898,0.034844445
0.015991429,0.035294118,0.124,0.18,0.228571429,0.186666667,High,,,0.000255726,0.001245675,0.015376,0.0324,0.052244898,0.034844445
0.015991429,0.035294118,0.124,0.18,0.233142857,0.192,High,,,0.000255726,0.001245675,0.015376,0.0324,0.054355592,0.036864
0.01828,0.037647059,0.124,0.18,0.233142857,0.197333333,High,,,0.000334158,0.001417301,0.015376,0.0324,0.054355592,0.038940444
0.020568571,0.04,0.12,0.18,0.233142857,0.202666667,High,,,0.000423066,0.0016,0.0144,0.0324,0.054355592,0.041073778
0.020568571,0.042352941,0.12,0.18,0.237714286,0.208,High,,,0.000423066,0.001793772,0.0144,0.0324,0.056508082,0.043264
0.022857143,0.044705882,0.124,0.184,0.237714286,0.213333333,High,,,0.000522449,0.001998616,0.015376,0.033856,0.056508082,0.045511111
0.022857143,0.044705882,0.124,0.184,0.233142857,0.213333333,High,,,0.000522449,0.001998616,0.015376,0.033856,0.054355592,0.045511111
0.025142857,0.044705882,0.128,0.188,0.237714286,0.218666667,High,,,0.000632163,0.001998616,0.016384,0.035344,0.056508082,0.047815111
0.027428571,0.044705882,0.132,0.192,0.237714286,0.218666667,High,,,0.000752327,0.001998616,0.017424,0.036864,0.056508082,0.047815111
0.029714286,0.044705882,0.136,0.196,0.237714286,0.224,High,,,0.000882939,0.001998616,0.018496,0.038416,0.056508082,0.050176
0.032,0.044705882,0.136,0.196,0.242285714,0.229333333,High,,,0.001024,0.001998616,0.018496,0.038416,0.058702367,0.052593778
