5kV,10kV,15kV,20kV,25kV,30kV,Contamination_Rate,,,5_s,10_s,15_s,20_s,25_s,30_s
0.072,0.091098171,0.101046528,0.01598,0.015356337,0.068571429,Low,,,0.005184,0.008298877,0.010210401,0.00025536,0.000235817,0.004702041
0.072,0.091511941,0.10163153,0.01598,0.016215138,0.068571429,Low,,,0.005184,0.008374435,0.010328968,0.00025536,0.000262931,0.004702041
0.072,0.091944403,0.102408508,0.01598,0.017107587,0.068571429,Low,,,0.005184,0.008453773,0.010487503,0.00025536,0.00029267,0.004702041
0.072,0.092391686,0.10337319,0.01598,0.018025699,0.068571429,Low,,,0.005184,0.008536224,0.010686016,0.00025536,0.000324926,0.004702041
0.072,0.092849785,0.104518347,0.01598,0.018961256,0.068571429,Low,,,0.005184,0.008621083,0.010924085,0.00025536,0.000359529,0.004702041
0.072,0.093314601,0.105833829,0.01598,0.019905886,0.068571429,Low,,,0.005184,0.008707615,0.011200799,0.00025536,0.000396244,0.004702041
0.072,0.093781971,0.107306661,0.01598,0.020851134,0.068571429,Low,,,0.005184,0.008795058,0.011514719,0.00025536,0.00043477,0.004702041
0.072,0.094247712,0.108921173,0.01598,0.021788541,0.068571429,Low,,,0.005184,0.008882631,0.011863822,0.00025536,0.000474741,0.004702041
0.072,0.094707656,0.110659191,0.01598,0.022709717,0.068571429,Low,,,0.005184,0.00896954,0.012245457,0.00025536,0.000515731,0.004702041
0.072,0.095157683,0.112500256,0.01598,0.02360642,0.068571429,Low,,,0.005184,0.009054985,0.012656308,0.00025536,0.000557263,0.004702041
0.072,0.095593766,0.114421902,0.01598,0.024470622,0.068571429,Low,,,0.005184,0.009138168,0.013092372,0.00025536,0.000598811,0.004702041
0.072,0.096012001,0.116399955,0.01598,0.025294591,0.068571429,Low,,,0.005184,0.009218304,0.01354895,0.00025536,0.000639816,0.004702041
0.072,0.096408644,0.118408871,0.01598,0.026070952,0.068571429,Low,,,0.005184,0.009294627,0.014020661,0.00025536,0.000679695,0.004702041
0.072,0.096780145,0.120422108,0.01598,0.026792757,0.068571429,Low,,,0.005184,0.009366396,0.014501484,0.00025536,0.000717852,0.004702041
0.072,0.097123177,0.122412505,0.01598,0.027453546,0.068571429,Low,,,0.005184,0.009432912,0.014984821,0.00025536,0.000753697,0.004702041
0.072,0.09743467,0.124352689,0.01598,0.028047406,0.068571429,Low,,,0.005184,0.009493515,0.015463591,0.00025536,0.000786657,0.004702041
0.072,0.097711835,0.126215488,0.01598,0.028569021,0.068571429,Low,,,0.005184,0.009547603,0.015930349,0.00025536,0.000816189,0.004702041
0.072,0.097952191,0.127974339,0.01598,0.029013724,0.068571429,Low,,,0.005184,0.009594632,0.016377431,0.00025536,0.000841796,0.004702041
0.0716,0.097633587,0.128963707,0.01598,0.029377534,0.068571429,Low,,,0.00512656,0.009532317,0.016631638,0.00025536,0.00086304,0.004702041
0.0712,0.097274219,0.129799479,0.019184,0.033662196,0.068571429,Low,,,0.00506944,0.009462274,0.016847905,0.000368026,0.001133143,0.004702041
0.0708,0.096872651,0.130459345,0.022388,0.037860207,0.073142857,Low,,,0.00501264,0.009384311,0.017019641,0.000501223,0.001433395,0.005349878
0.0704,0.09642782,0.130923162,0.025592,0.041969839,0.077714286,Low,,,0.00495616,0.009298324,0.017140874,0.00065495,0.001761467,0.00603951
0.07,0.095939056,0.131173279,0.031996,0.049990156,0.086857143,Low,,,0.0049,0.009204302,0.017206429,0.001023744,0.002499016,0.007544163
0.07,0.095926077,0.131834829,0.0352,0.053921021,0.091428571,Low,,,0.0049,0.009201812,0.017380422,0.00123904,0.002907477,0.008359184
0.0704,0.096389,0.132895987,0.0352,0.053758097,0.096,Low,,,0.00495616,0.009290839,0.017661343,0.00123904,0.002889933,0.009216
0.0708,0.096808337,0.133708176,0.0384,0.057507843,0.096,Low,,,0.00501264,0.009371854,0.017877876,0.00147456,0.003307152,0.009216
0.0712,0.097184988,0.134266228,0.0384,0.057172498,0.100571429,Low,,,0.00506944,0.009444922,0.01802742,0.00147456,0.003268695,0.010114612
0.0716,0.097520236,0.134568495,0.0352,0.052755064,0.100571429,Low,,,0.00512656,0.009510196,0.01810868,0.00123904,0.002783097,0.010114612
0.072,0.097815736,0.134616903,0.0384,0.056259275,0.105142857,Low,,,0.005184,0.009567918,0.018121711,0.00147456,0.003165106,0.01105502
0.072,0.097553496,0.133776956,0.0416,0.05968957,0.109714286,Low,,,0.005184,0.009516685,0.017896274,0.00173056,0.003562845,0.012037225
0.0716,0.096735866,0.132057682,0.0416,0.059051047,0.114285714,Low,,,0.00512656,0.009357828,0.017439231,0.00173056,0.003487026,0.013061224
0.0712,0.095885508,0.130111525,0.0448,0.06234942,0.114285714,Low,,,0.00506944,0.009194031,0.016929009,0.00200704,0.00388745,0.013061224
0.0704,0.094485381,0.127314188,0.048,0.065590968,0.114285714,Low,,,0.00495616,0.008927487,0.016208902,0.002304,0.004302175,0.013061224
0.0696,0.093058708,0.124324419,0.048,0.06478248,0.114285714,Low,,,0.00484416,0.008659923,0.015456561,0.002304,0.00419677,0.013061224
0.0688,0.09160895,0.121163755,0.048,0.063931191,0.114285714,Low,,,0.00473344,0.0083922,0.014680656,0.002304,0.004087197,0.013061224
0.0684,0.090659776,0.118496221,0.048,0.06304472,0.114285714,Low,,,0.00467856,0.008219195,0.014041354,0.002304,0.003974637,0.013061224
0.068,0.089695028,0.115707987,0.048,0.062131,0.118857143,Low,,,0.004624,0.008045198,0.013388338,0.002304,0.003860261,0.01412702
0.06758,0.088692687,0.112794996,0.048,0.061198208,0.123428571,Low,,,0.004567056,0.007866393,0.012722711,0.002304,0.003745221,0.015234612
0.06716,0.087682838,0.109818561,0.048,0.060254693,0.128,Low,,,0.004510466,0.00768828,0.012060116,0.002304,0.003630628,0.016384
0.06674,0.086669634,0.10680894,0.048,0.059308898,0.132571429,Low,,,0.004454228,0.007511625,0.01140815,0.002304,0.003517545,0.017575184
0.06632,0.085657256,0.1037969,0.048,0.058369289,0.141714286,Low,,,0.004398342,0.007337166,0.010773796,0.002304,0.003406974,0.020082939
0.0659,0.08464988,0.100813267,0.048,0.057444273,0.141714286,Low,,,0.00434281,0.007165602,0.010163315,0.002304,0.003299845,0.020082939
0.0659,0.084197636,0.098560478,0.048,0.056542131,0.141714286,Low,,,0.00434281,0.007089242,0.009714168,0.002304,0.003197013,0.020082939
0.0659,0.083758573,0.096396141,0.048,0.055670934,0.141714286,Low,,,0.00434281,0.007015499,0.009292216,0.002304,0.003099253,0.020082939
0.06552,0.082842621,0.0937406,0.0512,0.058838481,0.141714286,Low,,,0.00429287,0.0068629,0.0087873,0.00262144,0.003461967,0.020082939
0.06514,0.081947556,0.091228532,0.0544,0.062052221,0.137142857,Low,,,0.00424322,0.006715402,0.008322645,0.00295936,0.003850478,0.018808163
0.06514,0.081570971,0.089492554,0.0576,0.065319191,0.137142857,Low,,,0.00424322,0.006653823,0.008008917,0.00331776,0.004266597,0.018808163
0.06476,0.080728235,0.08733888,0.0608,0.068645951,0.141714286,Low,,,0.004193858,0.006517048,0.00762808,0.00369664,0.004712267,0.020082939
0.06438,0.07991647,0.085394996,0.0608,0.068038527,0.141714286,Low,,,0.004144784,0.006386642,0.007292305,0.00369664,0.004629241,0.020082939
0.06438,0.079632522,0.084285394,0.0608,0.067502354,0.146285714,Low,,,0.004144784,0.006341339,0.007104028,0.00369664,0.004556568,0.02139951
0.06398,0.078864932,0.082775343,0.0608,0.067042231,0.150857143,Low,,,0.00409344,0.006219677,0.006851757,0.00369664,0.004494661,0.022757878
0.0632,0.077641916,0.080906709,0.0608,0.066662276,0.155428571,Low,,,0.00399424,0.006028267,0.006545896,0.00369664,0.004443859,0.024158041
0.0624,0.076433346,0.079261837,0.0608,0.066365889,0.155428571,Low,,,0.00389376,0.005842056,0.006282439,0.00369664,0.004404431,0.024158041
0.0616,0.07526673,0.077875474,0.064,0.070155723,0.16,Low,,,0.00379456,0.005665081,0.006064589,0.004096,0.004921825,0.0256
0.0608,0.074143202,0.076746757,0.064,0.070033659,0.16,Low,,,0.00369664,0.005497214,0.005890065,0.004096,0.004904713,0.0256
0.0604,0.07358351,0.07651125,0.064,0.07000079,0.16,Low,,,0.00364816,0.005414533,0.005853971,0.004096,0.004900111,0.0256
0.06,0.073068009,0.076521043,0.0672,0.074057408,0.16,Low,,,0.0036,0.005338934,0.00585547,0.00451584,0.0054845,0.0256
0.06,0.073116659,0.077404888,0.0704,0.078203008,0.16,Low,,,0.0036,0.005346046,0.005991517,0.00495616,0.00611571,0.0256
0.06,0.073209024,0.078508406,0.0736,0.082436287,0.16,Low,,,0.0036,0.005359561,0.00616357,0.00541696,0.006795741,0.0256
0.06,0.073344277,0.079814318,0.0768,0.086755157,0.16,Low,,,0.0036,0.005379383,0.006370325,0.00589824,0.007526457,0.0256
0.06,0.073521208,0.081302736,0.08,0.091156764,0.164571429,Low,,,0.0036,0.005405368,0.006610135,0.0064,0.008309556,0.027083755
0.06,0.073738233,0.082951481,0.08,0.091637514,0.164571429,Low,,,0.0036,0.005437327,0.006880948,0.0064,0.008397434,0.027083755
0.06,0.073993409,0.084736437,0.08,0.092193104,0.169142857,Low,,,0.0036,0.005475025,0.007180264,0.0064,0.008499568,0.028609306
0.06,0.074284452,0.08663193,0.08,0.092818562,0.173714286,Low,,,0.0036,0.00551818,0.007505091,0.0064,0.008615285,0.030176653
0.0596,0.074088756,0.087971128,0.08,0.093508291,0.173714286,Low,,,0.00355216,0.005489144,0.007738919,0.0064,0.0087438,0.030176653
0.0592,0.073923418,0.08936645,0.08,0.094256118,0.169142857,Low,,,0.00350464,0.005464672,0.007986362,0.0064,0.008884216,0.028609306
0.0588,0.073785263,0.09078999,0.08,0.09505535,0.173714286,Low,,,0.00345744,0.005444265,0.008242822,0.0064,0.00903552,0.030176653
0.0584,0.073670873,0.092213932,0.08,0.095898834,0.169142857,Low,,,0.00341056,0.005427398,0.008503409,0.0064,0.009196586,0.028609306
0.058,0.073576617,0.093610964,0.08,0.096779022,0.169142857,Low,,,0.003364,0.005413519,0.008763013,0.0064,0.009366179,0.028609306
0.0576,0.073498684,0.094954676,0.08,0.097688036,0.173714286,Low,,,0.00331776,0.005402057,0.00901639,0.0064,0.009542952,0.030176653
0.0572,0.073433117,0.096219939,0.08,0.098617741,0.178285714,Low,,,0.00327184,0.005392423,0.009258277,0.0064,0.009725459,0.031785796
0.0568,0.073375847,0.097383258,0.08,0.099559817,0.178285714,Low,,,0.00322624,0.005384015,0.009483499,0.0064,0.009912157,0.031785796
0.0564,0.073322731,0.098423099,0.08,0.100505832,0.182857143,Low,,,0.00318096,0.005376223,0.009687106,0.0064,0.010101422,0.033436735
0.056,0.073269592,0.099320168,0.08,0.10144732,0.182857143,Low,,,0.003136,0.005368433,0.009864496,0.0064,0.010291559,0.033436735
0.056,0.073732248,0.100697666,0.08,0.102375855,0.182857143,Low,,,0.003136,0.005436444,0.01014002,0.0064,0.010480816,0.033436735
0.056,0.07418656,0.101901487,0.08,0.103283128,0.182857143,Low,,,0.003136,0.005503646,0.010383913,0.0064,0.010667405,0.033436735
0.056,0.074628459,0.102920377,0.08,0.104161018,0.182857143,Low,,,0.003136,0.005569407,0.010592604,0.0064,0.010849518,0.033436735
0.056,0.075053989,0.103746045,0.08,0.105001669,0.182857143,Low,,,0.003136,0.005633101,0.010763242,0.0064,0.01102535,0.033436735
0.056,0.075459342,0.104373218,0.08,0.105797557,0.182857143,Low,,,0.003136,0.005694112,0.010893769,0.0064,0.011193123,0.033436735
0.0556,0.075320889,0.104159658,0.08,0.106541559,0.182857143,Low,,,0.00309136,0.005673236,0.010849234,0.0064,0.011351104,0.033436735
0.0552,0.075155214,0.103746117,0.08,0.107227018,0.182857143,Low,,,0.00304704,0.005648306,0.010763257,0.0064,0.011497633,0.033436735
0.0544,0.074439146,0.102496251,0.08,0.107847798,0.182857143,Low,,,0.00295936,0.005541186,0.010505481,0.0064,0.011631148,0.033436735
0.0536,0.073689784,0.101056495,0.08,0.108398344,0.178285714,Low,,,0.00287296,0.005430184,0.010212415,0.0064,0.011750201,0.031785796
0.0528,0.072904527,0.099435878,0.08,0.108873729,0.178285714,Low,,,0.00278784,0.00531507,0.009887494,0.0064,0.011853489,0.031785796
0.052,0.072081094,0.097645817,0.08,0.109269698,0.178285714,Low,,,0.002704,0.005195684,0.009534706,0.0064,0.011939867,0.031785796
0.0516,0.071737546,0.096339868,0.08,0.109582707,0.178285714,Low,,,0.00266256,0.005146276,0.00928137,0.0064,0.01200837,0.031785796
0.0512,0.071352305,0.094893443,0.08,0.109809955,0.178285714,Low,,,0.00262144,0.005091151,0.009004766,0.0064,0.012058226,0.031785796
0.0512,0.071444163,0.093963514,0.08,0.109949409,0.182857143,Low,,,0.00262144,0.005104268,0.008829142,0.0064,0.012088873,0.033436735
0.0508,0.070972299,0.092288283,0.0832,0.11399982,0.182857143,Low,,,0.00258064,0.005037067,0.008517127,0.00692224,0.012995959,0.033436735
0.0508,0.070976281,0.091166855,0.0832,0.113960738,0.182857143,Low,,,0.00258064,0.005037632,0.008311395,0.00692224,0.01298705,0.033436735
0.0504,0.070416074,0.089338889,0.0864,0.117832511,0.182857143,Low,,,0.00254016,0.004958423,0.007981437,0.00746496,0.013884501,0.033436735
0.0504,0.070332038,0.088104255,0.0896,0.121616288,0.182857143,Low,,,0.00254016,0.004946596,0.00776236,0.00802816,0.014790522,0.033436735
0.0496,0.069164925,0.0855627,0.0896,0.121314003,0.182857143,Low,,,0.00246016,0.004783787,0.007320976,0.00802816,0.014717087,0.033436735
0.0496,0.068995872,0.08429351,0.0864,0.116928362,0.182857143,Low,,,0.00246016,0.00476043,0.007105396,0.00746496,0.013672242,0.033436735
0.0496,0.068786394,0.083035209,0.0864,0.116462817,0.182857143,Low,,,0.00246016,0.004731568,0.006894846,0.00746496,0.013563588,0.033436735
0.0496,0.068538366,0.08180526,0.0832,0.111921533,0.182857143,Low,,,0.00246016,0.004697508,0.006692101,0.00692224,0.01252643,0.033436735
0.0492,0.067734007,0.079979802,0.08,0.107309355,0.182857143,Low,,,0.00242064,0.004587896,0.006396769,0.0064,0.011515298,0.033436735
0.0492,0.067415864,0.07885342,0.0832,0.110631762,0.182857143,Low,,,0.00242064,0.004544899,0.006217862,0.00692224,0.012239387,0.033436735
0.0488,0.066546784,0.077158939,0.0864,0.113894817,0.182857143,Low,,,0.00238144,0.004428474,0.005953502,0.00746496,0.012972029,0.033436735
0.048,0.065129892,0.074907267,0.0864,0.113105117,0.182857143,Low,,,0.002304,0.004241903,0.005611099,0.00746496,0.012792767,0.033436735
0.0472,0.063688563,0.072747268,0.0896,0.116269728,0.182857143,Low,,,0.00222784,0.004056233,0.005292165,0.00802816,0.01351865,0.033436735
0.0464,0.062226389,0.070685681,0.0896,0.115396127,0.182857143,Low,,,0.00215296,0.003872123,0.004996465,0.00802816,0.013316266,0.033436735
0.0456,0.060747148,0.068727081,0.0896,0.114492132,0.182857143,Low,,,0.00207936,0.003690216,0.004723412,0.00802816,0.013108448,0.033436735
0.0444,0.058734774,0.066233877,0.0864,0.109565834,0.182857143,Low,,,0.00197136,0.003449774,0.004386926,0.00746496,0.012004672,0.033436735
0.044,0.057753316,0.065126357,0.0864,0.108625522,0.182857143,Low,,,0.001936,0.003335446,0.004241442,0.00746496,0.011799504,0.033436735
0.0436,0.056766905,0.064122769,0.0864,0.107679612,0.182857143,Low,,,0.00190096,0.003222482,0.00411173,0.00746496,0.011594899,0.033436735
0.0432,0.055779715,0.063219442,0.0864,0.10673657,0.182857143,Low,,,0.00186624,0.003111377,0.003996698,0.00746496,0.011392695,0.033436735
0.0428,0.05479593,0.062410937,0.0864,0.105804834,0.182857143,Low,,,0.00183184,0.003002594,0.003895125,0.00746496,0.011194663,0.033436735
0.0428,0.054339701,0.062330231,0.0864,0.104892745,0.182857143,Low,,,0.00183184,0.002952803,0.003885058,0.00746496,0.011002488,0.033436735
0.0424,0.053375112,0.061688936,0.0896,0.108008463,0.187428571,Low,,,0.00179776,0.002848903,0.003805525,0.00802816,0.011665828,0.035129469
0.042,0.052426143,0.061117523,0.0896,0.107159905,0.192,Low,,,0.001764,0.0027485,0.003735352,0.00802816,0.011483245,0.036864
0.042,0.052016634,0.061245582,0.0928,0.110354663,0.196571429,Low,,,0.001764,0.00270573,0.003751021,0.00861184,0.012178152,0.038640327
0.042,0.051630252,0.061422081,0.0928,0.109599944,0.196571429,Low,,,0.001764,0.002665683,0.003772672,0.00861184,0.012012148,0.038640327
0.0416,0.050750454,0.060995641,0.096,0.112902502,0.201142857,Low,,,0.00173056,0.002575609,0.003720468,0.009216,0.012746975,0.040458449
0.0412,0.049900462,0.060594805,0.096,0.11226858,0.196571429,Low,,,0.00169744,0.002490056,0.00367173,0.009216,0.012604234,0.038640327
0.0408,0.04908323,0.060208311,0.0992,0.115703851,0.196571429,Low,,,0.00166464,0.002409163,0.003625041,0.00984064,0.013387381,0.038640327
0.0404,0.048301419,0.05982535,0.0992,0.115213368,0.196571429,Low,,,0.00163216,0.002333027,0.003579073,0.00984064,0.01327412,0.038640327
0.0396,0.047037372,0.058795811,0.0992,0.114801522,0.201142857,Low,,,0.00156816,0.002212514,0.003456947,0.00984064,0.013179389,0.040458449
0.0392,0.046333095,0.058390512,0.0992,0.114471998,0.201142857,Low,,,0.00153664,0.002146756,0.003409452,0.00984064,0.013103838,0.040458449
0.0388,0.045670238,0.057961396,0.1024,0.118227745,0.205714286,Low,,,0.00150544,0.002085771,0.003359523,0.01048576,0.0139778,0.042318367
0.0384,0.04505008,0.057501715,0.1024,0.11807095,0.205714286,Low,,,0.00147456,0.00202951,0.003306447,0.01048576,0.013940749,0.042318367
0.0372,0.043433516,0.055726171,0.1056,0.122003015,0.205714286,Low,,,0.00138384,0.00188647,0.003105406,0.01115136,0.014884736,0.042318367
0.0364,0.042381054,0.054551026,0.1088,0.126024548,0.205714286,Low,,,0.00132496,0.001796154,0.002975814,0.01183744,0.015882187,0.042318367
0.036,0.041892805,0.053974182,0.112,0.130135357,0.205714286,Low,,,0.001296,0.001755007,0.002913212,0.012544,0.016935211,0.042318367
0.0352,0.040928485,0.052715221,0.112,0.13033445,0.205714286,Low,,,0.00123904,0.001675141,0.002778895,0.012544,0.016987069,0.042318367
0.0348,0.040527416,0.052055399,0.112,0.130620045,0.205714286,Low,,,0.00121104,0.001642471,0.002709765,0.012544,0.017061596,0.042318367
0.0348,0.040688534,0.051997618,0.112,0.130989587,0.205714286,Low,,,0.00121104,0.001655557,0.002703752,0.012544,0.017158272,0.042318367
0.0344,0.040370396,0.051266346,0.112,0.131439768,0.210285714,Low,,,0.00118336,0.001629769,0.002628238,0.012544,0.017276413,0.044220082
0.0336,0.039571196,0.049867513,0.112,0.131966559,0.210285714,Low,,,0.00112896,0.00156588,0.002486769,0.012544,0.017415173,0.044220082
0.0332,0.039328777,0.049088365,0.112,0.132565245,0.210285714,Low,,,0.00110224,0.001546753,0.002409668,0.012544,0.017573544,0.044220082
0.032,0.038080655,0.047017293,0.112,0.13323047,0.210285714,Low,,,0.001024,0.001450136,0.002210626,0.012544,0.017750358,0.044220082
0.0312,0.037384037,0.045583633,0.112,0.133956278,0.210285714,Low,,,0.00097344,0.001397566,0.002077868,0.012544,0.017944284,0.044220082
0.0308,0.037235851,0.044797443,0.1152,0.138736175,0.210285714,Low,,,0.00094864,0.001386509,0.002006811,0.01327104,0.019247726,0.044220082
0.03,0.036592768,0.043389261,0.1184,0.143563181,0.214857143,Low,,,0.0009,0.001339031,0.001882628,0.01401856,0.020610387,0.046163592
0.0292,0.035971233,0.04200985,0.1216,0.148429894,0.214857143,Low,,,0.00085264,0.00129393,0.001764827,0.01478656,0.022031433,0.046163592
0.0288,0.035887502,0.041309932,0.1216,0.149328558,0.219428571,Low,,,0.00082944,0.001287913,0.00170651,0.01478656,0.022299018,0.048148898
0.0284,0.035817669,0.040659926,0.1248,0.15425113,0.224,Low,,,0.00080656,0.001282905,0.00165323,0.01557504,0.023793411,0.050176
0.028,0.035757704,0.040069674,0.1248,0.155189354,0.224,Low,,,0.000784,0.001278613,0.001605579,0.01557504,0.024083736,0.050176
0.028,0.036223488,0.040188191,0.1248,0.156134833,0.224,Low,,,0.000784,0.001312141,0.001615091,0.01557504,0.024378086,0.050176
0.028,0.036690853,0.040383412,0.1248,0.157079105,0.228571429,Low,,,0.000784,0.001346219,0.00163082,0.01557504,0.024673845,0.052244898
0.028,0.037155614,0.040661968,0.128,0.16201372,0.233142857,Low,,,0.000784,0.00138054,0.001653396,0.016384,0.026248445,0.054355592
0.028,0.03761361,0.041028981,0.128,0.162930313,0.233142857,Low,,,0.000784,0.001414784,0.001683377,0.016384,0.026546287,0.054355592
0.028,0.038060743,0.041487882,0.1312,0.16782068,0.237714286,Low,,,0.000784,0.00144862,0.001721244,0.01721344,0.028163781,0.056508082
0.0276,0.037973009,0.041400266,0.1344,0.172676855,0.242285714,Low,,,0.00076176,0.001441949,0.001713982,0.01806336,0.029817296,0.058702367
0.0268,0.037346538,0.040765776,0.1376,0.177491173,0.246857143,Low,,,0.00071824,0.001394764,0.001661848,0.01893376,0.031503116,0.060938449
0.0264,0.037217629,0.040862027,0.1408,0.182256349,0.246857143,Low,,,0.00069696,0.001385152,0.001669705,0.01982464,0.033217377,0.060938449
0.0256,0.036542781,0.040404569,0.144,0.186965532,0.251428571,Low,,,0.00065536,0.001335375,0.001632529,0.020736,0.03495611,0.063216326
0.0248,0.035838724,0.040026889,0.144,0.187612378,0.251428571,Low,,,0.00061504,0.001284414,0.001602152,0.020736,0.035198404,0.063216326
0.0244,0.035622452,0.040360454,0.144,0.188191096,0.251428571,Low,,,0.00059536,0.001268959,0.001628966,0.020736,0.035415889,0.063216326
0.024,0.035371246,0.040754794,0.144,0.188696508,0.256,Low,,,0.000576,0.001251125,0.001660953,0.020736,0.035606372,0.065536
0.0228,0.034042699,0.039917629,0.144,0.189124089,0.256,Low,,,0.00051984,0.001158905,0.001593417,0.020736,0.035767921,0.065536
0.022,0.033194739,0.039755031,0.144,0.189470015,0.260571429,Low,,,0.000484,0.001101891,0.001580462,0.020736,0.035898887,0.06789747
0.0212,0.032305648,0.039611622,0.144,0.189731188,0.265142857,Low,,,0.00044944,0.001043655,0.001569081,0.020736,0.035997924,0.070300735
0.02,0.030854074,0.038830804,0.1472,0.193905271,0.269714286,Low,,,0.0004,0.000951974,0.001507831,0.02166784,0.037599254,0.072745796
0.0196,0.030399047,0.039315022,0.1504,0.197990707,0.269714286,Low,,,0.00038416,0.000924102,0.001545671,0.02262016,0.03920032,0.072745796
0.0192,0.029899984,0.039766051,0.1536,0.20198673,0.274285714,Low,,,0.00036864,0.000894009,0.001581339,0.02359296,0.040798639,0.075232653
0.0188,0.0293567,0.040165297,0.1568,0.205893377,0.274285714,Low,,,0.00035344,0.000861816,0.001613251,0.02458624,0.042392083,0.075232653
0.0184,0.028769401,0.04049412,0.16,0.209711483,0.278857143,Low,,,0.00033856,0.000827678,0.001639774,0.0256,0.043978906,0.077761306
0.018,0.028138692,0.040734165,0.16,0.209442675,0.278857143,Low,,,0.000324,0.000791786,0.001659272,0.0256,0.043866234,0.077761306
0.0172,0.026945561,0.040227692,0.16,0.20908936,0.283428571,Low,,,0.00029584,0.000726063,0.001618267,0.0256,0.04371836,0.080331755
