5kV,10kV,15kV,20kV,25kV,30kV,Contamination_Rate,,,5_s,10_s,15_s,20_s,25_s,30_s
0.084616523,0.134248354,0.21320267,-0.222222222,-0.228571429,0.05035155,Medium,,,0.007159956,0.018022621,0.045455378,0.049382716,0.052244898,0.002535279
0.084375418,0.134818737,0.215497197,-0.222222222,-0.228571429,0.051905231,Medium,,,0.007119211,0.018176092,0.046439042,0.049382716,0.052244898,0.002694153
0.084172842,0.135301357,0.217820255,-0.222222222,-0.228571429,0.053312845,Medium,,,0.007085067,0.018306457,0.047445663,0.049382716,0.052244898,0.002842259
0.084010492,0.135690396,0.220147111,-0.222222222,-0.228571429,0.054564399,Medium,,,0.007057763,0.018411884,0.04846475,0.049382716,0.052244898,0.002977274
0.08388935,0.135980805,0.222452867,-0.222222222,-0.228571429,0.055650697,Medium,,,0.007037423,0.018490779,0.049485278,0.049382716,0.052244898,0.003097
0.083809687,0.136168345,0.224712696,-0.222222222,-0.228571429,0.056563389,Medium,,,0.007024064,0.018541818,0.050495796,0.049382716,0.052244898,0.003199417
0.083771067,0.136249631,0.226902066,-0.222222222,-0.228571429,0.05729502,Medium,,,0.007017592,0.018563962,0.051484548,0.049382716,0.052244898,0.003282719
0.083772379,0.13622217,0.228996967,-0.222222222,-0.228571429,0.05783909,Medium,,,0.007017811,0.01855648,0.052439611,0.049382716,0.052244898,0.00334536
0.083811864,0.136084377,0.230974135,-0.222222222,-0.228571429,0.058190104,Medium,,,0.007024429,0.018518958,0.053349051,0.049382716,0.052244898,0.003386088
0.083887167,0.135835603,0.232811267,-0.222222222,-0.228571429,0.058343641,Medium,,,0.007037057,0.018451311,0.054201086,0.049382716,0.052244898,0.00340398
0.083995388,0.135476136,0.234487231,-0.222222222,-0.228571429,0.058296408,Medium,,,0.007055225,0.018353783,0.054984262,0.049382716,0.052244898,0.003398471
0.084133151,0.135007208,0.235982259,-0.222222222,-0.228571429,0.058046308,Medium,,,0.007078387,0.018226946,0.055687627,0.049382716,0.052244898,0.003369374
0.084296674,0.134430985,0.237278136,-0.222222222,-0.228571429,0.057592503,Medium,,,0.007105929,0.01807169,0.056300914,0.049382716,0.052244898,0.003316896
0.084481845,0.133750553,0.238358371,-0.222222222,-0.228571429,0.056935469,Medium,,,0.007137182,0.01788921,0.056814713,0.049382716,0.052244898,0.003241648
0.084684308,0.132969892,0.239208353,-0.222222222,-0.228571429,0.056077062,Medium,,,0.007171432,0.017680992,0.057220636,0.049382716,0.052244898,0.003144637
0.084899548,0.13209385,0.239815492,-0.222222222,-0.228571429,0.055020566,Medium,,,0.007207933,0.017448785,0.05751147,0.049382716,0.052244898,0.003027263
0.085122975,0.131128098,0.240169342,-0.222222222,-0.228571429,0.05377074,Medium,,,0.007245921,0.017194578,0.057681313,0.049382716,0.052244898,0.002891292
0.085350019,0.130079087,0.2402617,-0.222222222,-0.228571429,0.052333858,Medium,,,0.007284626,0.016920569,0.057725684,0.049382716,0.052244898,0.002738833
0.085576207,0.128953996,0.240086693,-0.222222222,-0.228571429,0.050717739,Medium,,,0.007323287,0.016629133,0.05764162,0.049382716,0.052244898,0.002572289
0.085797251,0.127760669,0.239640843,-0.222222222,-0.228571429,0.05533976,Medium,,,0.007361168,0.016322789,0.057427734,0.049382716,0.052244898,0.003062489
0.083609124,0.123147551,0.232923098,-0.222222222,-0.228571429,0.059802863,Medium,,,0.006990486,0.015165319,0.05425317,0.049382716,0.052244898,0.003576382
0.083808132,0.121843618,0.231934865,-0.222222222,-0.228571429,0.064119545,Medium,,,0.007023803,0.014845867,0.053793782,0.049382716,0.052244898,0.004111316
0.083990978,0.120498301,0.230679997,-0.222222222,-0.228571429,0.074703826,Medium,,,0.007054484,0.014519841,0.053213261,0.049382716,0.052244898,0.005580662
0.08415482,0.119121406,0.229164774,-0.222222222,-0.228571429,0.078771209,Medium,,,0.007082034,0.014189909,0.052516494,0.049382716,0.052244898,0.006204903
0.084297312,0.11772303,0.227397855,-0.226666667,-0.228571429,0.076330615,Medium,,,0.007106037,0.013858712,0.051709784,0.051377778,0.052244898,0.005826363
0.084416649,0.11631348,0.225390213,-0.226666667,-0.228571429,0.080208298,Medium,,,0.007126171,0.013528826,0.050800748,0.051377778,0.052244898,0.006433371
0.086911584,0.118263178,0.229155043,-0.226666667,-0.231428571,0.077623747,Medium,,,0.007553623,0.013986179,0.052512034,0.051377778,0.053559183,0.006025446
0.086981448,0.11686258,0.226707661,-0.226666667,-0.231428571,0.068597563,Medium,,,0.007565772,0.013656863,0.051396364,0.051377778,0.053559183,0.004705626
0.087026151,0.115482082,0.224065371,-0.226666667,-0.234285714,0.072351314,Medium,,,0.007573551,0.013336111,0.05020529,0.051377778,0.054889796,0.005234713
0.087046172,0.114131934,0.221247322,-0.222222222,-0.234285714,0.07610738,Medium,,,0.007577036,0.013026098,0.048950377,0.049382716,0.054889796,0.005792333
0.087042545,0.112822153,0.218274348,-0.222222222,-0.237142857,0.073488767,Medium,,,0.007576405,0.012728838,0.047643691,0.049382716,0.056236735,0.005400599
0.087016821,0.111562435,0.215168791,-0.217777778,-0.237142857,0.07731892,Medium,,,0.007571927,0.012446177,0.046297609,0.047427161,0.056236735,0.005978215
0.084571034,0.107002076,0.20595431,-0.217777778,-0.24,0.081221502,Medium,,,0.00715226,0.011449444,0.042417178,0.047427161,0.0576,0.006596932
0.084507652,0.105869893,0.20265568,-0.217777778,-0.24,0.078820177,Medium,,,0.007141543,0.011208434,0.041069325,0.047427161,0.0576,0.00621262
0.082029512,0.101454146,0.193298578,-0.217777778,-0.242857143,0.076538371,Medium,,,0.006728841,0.010292944,0.03736434,0.047427161,0.058979592,0.005858122
0.081939764,0.100482471,0.189909367,-0.217777778,-0.242857143,0.074399028,Medium,,,0.006714125,0.010096727,0.036065568,0.047427161,0.058979592,0.005535215
0.081841795,0.099601816,0.186514861,-0.222222222,-0.24,0.072424357,Medium,,,0.006698079,0.009920522,0.034787793,0.049382716,0.0576,0.005245287
0.081739156,0.098818378,0.183142105,-0.222222222,-0.24,0.070635585,Medium,,,0.00668129,0.009765072,0.033541031,0.049382716,0.0576,0.004989386
0.081635484,0.098137558,0.179818129,-0.217777778,-0.24,0.069052696,Medium,,,0.006664352,0.00963098,0.03233456,0.047427161,0.0576,0.004768275
0.079014421,0.09403591,0.170269725,-0.217777778,-0.24,0.06769419,Medium,,,0.006243279,0.008842752,0.028991779,0.047427161,0.0576,0.004582503
0.078919535,0.093573106,0.167123209,-0.213333333,-0.237142857,0.066576835,Medium,,,0.006228293,0.008755926,0.027930167,0.045511111,0.056236735,0.004432475
0.078834242,0.093223908,0.164104195,-0.208888889,-0.237142857,0.06571544,Medium,,,0.006214838,0.008690697,0.026930187,0.043634568,0.056236735,0.004318519
0.078761731,0.092990142,0.161237373,-0.204444444,-0.234285714,0.065122636,Medium,,,0.00620341,0.008647167,0.02599749,0.041797531,0.054889796,0.004240958
0.078704895,0.092872688,0.158546297,-0.204444444,-0.231428571,0.064808677,Medium,,,0.00619446,0.008625336,0.025136928,0.041797531,0.053559183,0.004200165
0.078666263,0.09287147,0.156053174,-0.2,-0.228571429,0.071181263,Medium,,,0.006188381,0.00862511,0.024352593,0.04,0.052244898,0.005066772
0.078647944,0.092985466,0.153778681,-0.195555556,-0.225714286,0.077845384,Medium,,,0.006185499,0.008646297,0.023647883,0.038241975,0.050946939,0.006059904
0.076371578,0.090020713,0.146041778,-0.191111111,-0.222857143,0.084803196,Medium,,,0.005832618,0.008103729,0.021328201,0.036523457,0.049665306,0.007191582
0.076398297,0.090358326,0.144259546,-0.182222222,-0.217142857,0.092053917,Medium,,,0.0058367,0.008164627,0.020810817,0.033204938,0.04715102,0.008473924
0.07872869,0.093994532,0.148447042,-0.177777778,-0.211428571,0.09319377,Medium,,,0.006198207,0.008834972,0.022036524,0.031604938,0.044702041,0.008685079
0.076522789,0.091348698,0.141517163,-0.173333333,-0.205714286,0.09461594,Medium,,,0.005855737,0.008344585,0.020027107,0.030044444,0.042318367,0.008952176
0.076620058,0.091991377,0.14058054,-0.173333333,-0.202857143,0.096310585,Medium,,,0.005870633,0.008462413,0.019762888,0.030044444,0.04115102,0.009275729
0.076739396,0.092724355,0.139945441,-0.173333333,-0.2,0.098264871,Medium,,,0.005888935,0.008597806,0.019584726,0.030044444,0.04,0.009655985
0.074479148,0.090180712,0.133617706,-0.173333333,-0.197142857,0.100463046,Medium,,,0.005547143,0.008132561,0.017853691,0.030044444,0.038865306,0.010092824
0.074637137,0.09107288,0.133600692,-0.164444444,-0.194285714,0.109286557,Medium,,,0.005570702,0.008294269,0.017849145,0.027041975,0.037746939,0.011943552
0.072410693,0.088672712,0.127895246,-0.155555556,-0.188571429,0.111914189,Medium,,,0.005243308,0.00786285,0.016357194,0.024197531,0.035559184,0.012524786
0.072596702,0.089691556,0.128499702,-0.146666667,-0.185714286,0.114722257,Medium,,,0.005270281,0.008044575,0.016512173,0.021511111,0.034489796,0.013161196
0.07279166,0.090760331,0.129409895,-0.133333333,-0.18,0.124084814,Medium,,,0.005298626,0.008237438,0.016746921,0.017777778,0.0324,0.015397041
0.072991737,0.091869608,0.130619195,-0.128888889,-0.177142857,0.133573907,Medium,,,0.005327794,0.008440025,0.017061374,0.016612346,0.031379592,0.017841989
0.073192848,0.093009693,0.132118572,-0.128888889,-0.171428571,0.143159845,Medium,,,0.005357193,0.008650803,0.017455317,0.016612346,0.029387755,0.020494741
0.073390728,0.094170716,0.133896674,-0.124444444,-0.168571429,0.152811512,Medium,,,0.005386199,0.008868124,0.017928319,0.01548642,0.028416327,0.023351358
0.073581014,0.095342714,0.135939926,-0.12,-0.162857143,0.16249668,Medium,,,0.005414166,0.009090233,0.018479663,0.0144,0.026522449,0.026405171
0.07375933,0.096515722,0.138232651,-0.115555556,-0.157142857,0.165782367,Medium,,,0.005440439,0.009315285,0.019108266,0.013353087,0.024693878,0.027483793
0.073921371,0.097679858,0.140757208,-0.106666667,-0.148571429,0.169035185,Medium,,,0.005464369,0.009541355,0.019812592,0.011377778,0.02207347,0.028572894
0.074062987,0.098825413,0.143494148,-0.097777778,-0.142857143,0.172221717,Medium,,,0.005485326,0.009766462,0.020590571,0.009560494,0.020408163,0.02966032
0.074180273,0.099942934,0.146422382,-0.093333333,-0.14,0.175308887,Medium,,,0.005502713,0.00998859,0.021439514,0.008711111,0.0196,0.030733206
0.074269643,0.101023307,0.14951937,-0.088888889,-0.137142857,0.178264344,Medium,,,0.00551598,0.010205709,0.022356042,0.007901235,0.018808163,0.031778176
0.071927909,0.098697835,0.146761316,-0.084444444,-0.131428571,0.181056828,Medium,,,0.005173624,0.009741263,0.021538884,0.007130864,0.017273469,0.032781575
0.071952354,0.099678318,0.150123373,-0.075544444,-0.128571429,0.18365654,Medium,,,0.005177141,0.009935767,0.022537027,0.005706963,0.016530612,0.033729725
0.071940786,0.100597119,0.153579868,-0.066644444,-0.125714286,0.186035492,Medium,,,0.005175477,0.01011978,0.023586776,0.004441482,0.015804082,0.034609204
0.071891602,0.101447232,0.157104519,-0.0622,-0.117142857,0.188167839,Medium,,,0.005168402,0.010291541,0.02468183,0.00386884,0.013722449,0.035407136
0.071803823,0.102222341,0.160670667,-0.0533,-0.102857143,0.190030197,Medium,,,0.005155789,0.010449407,0.025815063,0.00284089,0.010579592,0.036111476
0.069277133,0.099556876,0.158251506,-0.048844444,-0.094285714,0.191601922,Medium,,,0.004799321,0.009911572,0.025043539,0.00238578,0.008889796,0.036711297
0.069111898,0.100166058,0.161820318,-0.048844444,-0.082857143,0.192865365,Medium,,,0.004776454,0.010033239,0.026185815,0.00238578,0.006865306,0.037197049
0.068909176,0.100685939,0.165350704,-0.048844444,-0.071428571,0.193806098,Medium,,,0.004748475,0.010137658,0.027340855,0.00238578,0.005102041,0.037560804
0.068670716,0.101113433,0.168816809,-0.035511111,-0.062857143,0.194413095,Medium,,,0.004715667,0.010223926,0.028499115,0.001261039,0.00395102,0.037796452
0.068398943,0.101446345,0.17219355,-0.026633333,-0.057142857,0.194678877,Medium,,,0.004678415,0.010291361,0.029650619,0.000709334,0.003265306,0.037899865
0.068096927,0.101683381,0.175456828,-0.017755556,-0.048564286,0.194599614,Medium,,,0.004637191,0.01033951,0.030785098,0.00031526,0.00235849,0.03786901
0.067768352,0.101824161,0.178583736,-0.004433333,-0.042842857,0.194175184,Medium,,,0.00459255,0.01036816,0.031892151,1.97E-05,0.00183551,0.037704002
0.067417457,0.101869217,0.181552753,0.008888889,-0.037121429,0.193409193,Medium,,,0.004545114,0.010377337,0.032961402,7.90E-05,0.001378,0.037407116
0.067048982,0.101819984,0.184343928,0.013333333,-0.0314,0.192308942,Medium,,,0.004495566,0.010367309,0.033982684,0.000177778,0.00098596,0.036982729
0.066668092,0.101678787,0.186939047,0.017777778,-0.019971429,0.190885352,Medium,,,0.004444634,0.010338576,0.034946207,0.000316049,0.000398858,0.036437218
0.063880305,0.098088813,0.183321788,0.026655556,-0.011407143,0.189152852,Medium,,,0.004080693,0.009621415,0.033606878,0.000710519,0.000130123,0.035778801
0.063491397,0.097774081,0.185477852,0.031088889,-0.002842857,0.187129217,Medium,,,0.004031157,0.009559771,0.034402034,0.000966519,8.08E-06,0.035017344
0.060707318,0.094019399,0.181395082,0.035522222,0.008571429,0.184835366,Medium,,,0.003685378,0.008839647,0.032904176,0.001261828,7.35E-05,0.034164113
0.060334088,0.093550323,0.183063564,0.044411111,0.02285,0.182295131,Medium,,,0.003640202,0.008751663,0.033512268,0.001972347,0.000522123,0.033231515
0.059977706,0.0930131,0.184475696,0.0533,0.028564286,0.179534978,Medium,,,0.003597325,0.008651437,0.034031282,0.00284089,0.000815918,0.032232808
