5kV,10kV,15kV,20kV,25kV,30kV,Contamination_Rate,,,5_s,10_s,15_s,20_s,25_s,30_s
0.01010051,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.00010202,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.010230534,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000104664,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.010371169,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000107561,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.010521155,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000110695,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.010679146,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000114044,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.010843727,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000117586,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.011013423,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000121295,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.011186711,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000125143,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.01136204,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000129096,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.011537837,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000133122,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.011712526,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000137183,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.011884542,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000141242,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.012052343,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000145259,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.012214424,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000149192,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.012369333,0.04137931,-0.28,-0.138461538,-0.62,-2.24,Very_High,,,0.000153,0.001712247,0.0784,0.019171598,0.3844,5.0176
0.012515681,0.04137931,-0.28,-0.138461538,-0.62,-2.208,Very_High,,,0.000156642,0.001712247,0.0784,0.019171598,0.3844,4.875264
0.012652157,0.04137931,-0.28,-0.138461538,-0.616,-2.176,Very_High,,,0.000160077,0.001712247,0.0784,0.019171598,0.379456,4.734976
0.012777536,0.04137931,-0.28,-0.138461538,-0.604,-2.144,Very_High,,,0.000163265,0.001712247,0.0784,0.019171598,0.364816,4.596736
0.012890696,0.04137931,-0.28,-0.138461538,-0.596,-2.08,Very_High,,,0.00016617,0.001712247,0.0784,0.019171598,0.355216,4.3264
0.015279193,0.04137931,-0.28,-0.138461538,-0.58,-2.016,Very_High,,,0.000233454,0.001712247,0.0784,0.019171598,0.3364,4.064256
0.017653559,0.044137931,-0.28,-0.138461538,-0.592,-1.984,Very_High,,,0.000311648,0.001948157,0.0784,0.019171598,0.350464,3.936256
0.020013027,0.046896552,-0.28,-0.135384615,-0.596,-1.92,Very_High,,,0.000400521,0.002199287,0.0784,0.018328994,0.355216,3.6864
0.024642675,0.052413793,-0.28,-0.132307692,-0.596,-1.856,Very_High,,,0.000607261,0.002747206,0.0784,0.017505325,0.355216,3.444736
0.026970577,0.055172414,-0.28,-0.126153846,-0.584,-1.792,Very_High,,,0.000727412,0.003043995,0.0784,0.015914793,0.341056,3.211264
0.026993525,0.057931034,-0.28,-0.116923077,-0.572,-1.728,Very_High,,,0.00072865,0.003356005,0.0784,0.013671006,0.327184,2.985984
0.029285598,0.057931034,-0.28,-0.107692308,-0.524,-1.632,Very_High,,,0.000857646,0.003356005,0.0784,0.011597633,0.274576,2.663424
