5kV,10kV,15kV,20kV,25kV,30kV,Contamination_Rate,,,5_s,10_s,15_s,20_s,25_s,30_s
0.06,0.072,0.013316667,0.019975,0,-0.005020652,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,2.52E-05
0.06,0.072,0.013316667,0.019975,0,-0.00578208,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,3.34E-05
0.06,0.072,0.013316667,0.019975,0,-0.006464324,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,4.18E-05
0.06,0.072,0.013316667,0.019975,0,-0.007068317,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,5.00E-05
0.06,0.072,0.013316667,0.019975,0,-0.007596047,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,5.77E-05
0.06,0.072,0.013316667,0.019975,0,-0.008050418,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,6.48E-05
0.06,0.072,0.013316667,0.019975,0,-0.008435087,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,7.12E-05
0.06,0.072,0.013316667,0.019975,0,-0.008754299,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,7.66E-05
0.06,0.072,0.013316667,0.019975,0,-0.009012717,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,8.12E-05
0.06,0.072,0.013316667,0.019975,0,-0.009215246,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,8.49E-05
0.06,0.072,0.013316667,0.019975,0,-0.00936687,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,8.77E-05
0.06,0.072,0.013316667,0.019975,0,-0.00947248,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,8.97E-05
0.06,0.072,0.013316667,0.019975,0,-0.009536733,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,9.09E-05
0.06,0.072,0.013316667,0.019975,0,-0.009563903,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,9.15E-05
0.06,0.072,0.013316667,0.019975,0,-0.009557765,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,9.14E-05
0.06,0.072,0.013316667,0.019975,0,-0.009521486,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,9.07E-05
0.06,0.072,0.013316667,0.019975,0,-0.00945755,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,8.94E-05
0.06,0.072,0.013316667,0.019975,0,-0.009367689,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0,8.78E-05
0.06,0.072,0.010653333,0.019975,0,-0.009252856,Very_Low,,,0.0036,0.005184,0.000113494,0.000399001,0,8.56E-05
0.06,0.072,0.010653333,0.019975,0,-0.009113206,Very_Low,,,0.0036,0.005184,0.000113494,0.000399001,0,8.31E-05
0.058333333,0.07,0.00799,0,0,-0.008948118,Very_Low,,,0.003402778,0.0049,6.38E-05,0,0,8.01E-05
0.058333333,0.07,0.00799,0.019975,0.003995,-0.004437305,Very_Low,,,0.003402778,0.0049,6.38E-05,0.000399001,1.60E-05,1.97E-05
0.058333333,0.07,0.00799,0,0.00799,0.000102359,Very_Low,,,0.003402778,0.0049,6.38E-05,0,6.38E-05,1.05E-08
0.058333333,0.07,0.010653333,0.019975,0.00799,0.0003546,Very_Low,,,0.003402778,0.0049,0.000113494,0.000399001,6.38E-05,1.26E-07
0.058333333,0.07,0.00799,0.019975,0.011985,0.004960392,Very_Low,,,0.003402778,0.0049,6.38E-05,0.000399001,0.00014364,2.46E-05
0.058333333,0.07,0.00799,0.019975,0.01598,0.009604326,Very_Low,,,0.003402778,0.0049,6.38E-05,0.000399001,0.00025536,9.22E-05
0.06,0.072,0.00799,0,0.01598,0.009971226,Very_Low,,,0.0036,0.005184,6.38E-05,0,0.00025536,9.94E-05
0.06,0.072,0.00799,0,0.01598,0.010383841,Very_Low,,,0.0036,0.005184,6.38E-05,0,0.00025536,0.000107824
0.06,0.072,0.00799,0.019975,0.019975,0.015164847,Very_Low,,,0.0036,0.005184,6.38E-05,0.000399001,0.000399001,0.000229973
0.06,0.072,0.010653333,0.019975,0.019975,0.015679929,Very_Low,,,0.0036,0.005184,0.000113494,0.000399001,0.000399001,0.00024586
0.06,0.072,0.013316667,0.019975,0.019975,0.01625113,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0.000399001,0.000264099
0.06,0.072,0.013316667,0.019975,0.02398,0.021210741,Very_Low,,,0.0036,0.005184,0.000177334,0.000399001,0.00057504,0.000449896
0.058333333,0.07,0.013316667,0.019975,0.02398,0.021901148,Very_Low,,,0.003402778,0.0049,0.000177334,0.000399001,0.00057504,0.00047966
0.058333333,0.07,0.013316667,0.019975,0.02398,0.022653062,Very_Low,,,0.003402778,0.0049,0.000177334,0.000399001,0.00057504,0.000513161
0.056666667,0.068,0.013316667,0.019975,0.02398,0.023466467,Very_Low,,,0.003211111,0.004624,0.000177334,0.000399001,0.00057504,0.000550675
0.056666667,0.068,0.013316667,0.019975,0.02398,0.024340237,Very_Low,,,0.003211111,0.004624,0.000177334,0.000399001,0.00057504,0.000592447
0.056666667,0.068,0.013316667,0.019975,0.02398,0.025272035,Very_Low,,,0.003211111,0.004624,0.000177334,0.000399001,0.00057504,0.000638676
0.056666667,0.068,0.013316667,0.019975,0.02398,0.026258242,Very_Low,,,0.003211111,0.004624,0.000177334,0.000399001,0.00057504,0.000689495
0.056666667,0.068,0.013316667,0.019975,0.027985,0.031623636,Very_Low,,,0.003211111,0.004624,0.000177334,0.000399001,0.00078316,0.001000054
0.054916667,0.0659,0.013316667,0.019975,0.027985,0.032702453,Very_Low,,,0.00301584,0.00434281,0.000177334,0.000399001,0.00078316,0.00106945
0.054916667,0.0659,0.013316667,0.019975,0.027985,0.033816768,Very_Low,,,0.00301584,0.00434281,0.000177334,0.000399001,0.00078316,0.001143574
0.054916667,0.0659,0.013316667,0.019975,0.027985,0.034957612,Very_Low,,,0.00301584,0.00434281,0.000177334,0.000399001,0.00078316,0.001222035
0.054916667,0.0659,0.013316667,0.019975,0.027985,0.036114767,Very_Low,,,0.00301584,0.00434281,0.000177334,0.000399001,0.00078316,0.001304276
0.054916667,0.0659,0.013316667,0.019975,0.027985,0.037276853,Very_Low,,,0.00301584,0.00434281,0.000177334,0.000399001,0.00078316,0.001389564
0.054916667,0.0659,0.013316667,0.019975,0.03199,0.042761186,Very_Low,,,0.00301584,0.00434281,0.000177334,0.000399001,0.00102336,0.001828519
0.054916667,0.0659,0.015986667,0.019975,0.035995,0.048224728,Very_Low,,,0.00301584,0.00434281,0.000255574,0.000399001,0.00129564,0.002325624
0.053333333,0.064,0.018656667,0.019975,0.035995,0.049323721,Very_Low,,,0.002844444,0.004096,0.000348071,0.000399001,0.00129564,0.002432829
0.053333333,0.064,0.018656667,0.04,0.04,0.054703072,Very_Low,,,0.002844444,0.004096,0.000348071,0.0016,0.0016,0.002992426
0.054916667,0.0659,0.021326667,0.04,0.04,0.055688455,Very_Low,,,0.00301584,0.00434281,0.000454827,0.0016,0.0016,0.003101204
0.053333333,0.064,0.023996667,0.019975,0.044,0.060918973,Very_Low,,,0.002844444,0.004096,0.00057584,0.000399001,0.001936,0.003711121
